Year,Industries,Activités de protection de l'environnement,Value
2019,Transport par pipeline,Protection de la biodiversité et de l’habitat,68.0
2019,Transport par pipeline,Lutte contre le bruit et les vibrations,38.0
2018,"Total, industries",Redevances écologiques,0.9
2018,Exploitation forestière (sauf à forfait),Redevances écologiques,
2018,Extraction de pétrole et de gaz,Redevances écologiques,5.1
2018,Extraction minière et exploitation en carrière,Redevances écologiques,0.0
2018,"Production, transport et distribution d’électricité",Redevances écologiques,7.9
2018,Distribution de gaz naturel,Redevances écologiques,7.2
2018,Fabrication d’aliments,Redevances écologiques,0.3
2018,Fabrication de boissons et de produits du tabac,Redevances écologiques,0.0
2018,Fabrication de produits en bois,Redevances écologiques,4.6
2018,Fabrication du papier,Redevances écologiques,2.6
2018,Fabrication de produits du pétrole et du charbon,Redevances écologiques,14.4
2018,Fabrication de produits chimiques,Redevances écologiques,
2018,Fabrication de produits minéraux non métalliques,Redevances écologiques,
2018,Première transformation des métaux,Redevances écologiques,7.2
2018,Fabrication de produits métalliques,Redevances écologiques,0.0
2018,,Redevances écologiques,0.0
2018,Fabrication de produits en plastique et en caoutchouc,Redevances écologiques,
2018,Fabrication de machines,Redevances écologiques,0.0
2018,Fabrication de meubles et de produits connexes,Redevances écologiques,
2018,Autres industries de fabrication,Redevances écologiques,0.6
2018,Transport par pipeline,Redevances écologiques,
2019,"Total, industries",Redevances écologiques,0.6
2019,Exploitation forestière (sauf à forfait),Redevances écologiques,0.0
2019,Extraction de pétrole et de gaz,Redevances écologiques,10.0
2019,Extraction minière et exploitation en carrière,Redevances écologiques,
2019,"Production, transport et distribution d’électricité",Redevances écologiques,4.7
2019,Distribution de gaz naturel,Redevances écologiques,0.0
2019,Fabrication d’aliments,Redevances écologiques,
2019,Fabrication de boissons et de produits du tabac,Redevances écologiques,0.0
2019,Fabrication de produits en bois,Redevances écologiques,1.0
2019,Fabrication du papier,Redevances écologiques,2.7
2019,Fabrication de produits du pétrole et du charbon,Redevances écologiques,0.0
2019,Fabrication de produits chimiques,Redevances écologiques,
2019,Fabrication de produits minéraux non métalliques,Redevances écologiques,
2019,Première transformation des métaux,Redevances écologiques,10.0
2019,Fabrication de produits métalliques,Redevances écologiques,0.0
2019,,Redevances écologiques,
2019,Fabrication de produits en plastique et en caoutchouc,Redevances écologiques,
2019,Fabrication de machines,Redevances écologiques,1.0
2019,Fabrication de meubles et de produits connexes,Redevances écologiques,0.0
2019,Autres industries de fabrication,Redevances écologiques,
2019,Transport par pipeline,Redevances écologiques,10.0
