Year,Geography,Age group,Sex,Value
2016,New Brunswick,"Total, 12 years and over",Females,93.0
2017,New Brunswick,"Total, 12 years and over",Females,92.3
2018,New Brunswick,"Total, 12 years and over",Females,94.2
2019,New Brunswick,"Total, 12 years and over",Females,91.8
2020,New Brunswick,"Total, 12 years and over",Females,92.6
2015,New Brunswick,12 to 17 years,Both sexes,96.3
2016,New Brunswick,12 to 17 years,Both sexes,96.1
2017,New Brunswick,12 to 17 years,Both sexes,99.2
2018,New Brunswick,12 to 17 years,Both sexes,97.7
2019,New Brunswick,12 to 17 years,Both sexes,100.0
2020,New Brunswick,12 to 17 years,Both sexes,98.7
2015,New Brunswick,12 to 17 years,Males,95.9
2016,New Brunswick,12 to 17 years,Males,98.2
2017,New Brunswick,12 to 17 years,Males,98.5
2018,New Brunswick,12 to 17 years,Males,100.0
2019,New Brunswick,12 to 17 years,Males,100.0
2020,New Brunswick,12 to 17 years,Males,100.0
2015,New Brunswick,12 to 17 years,Females,96.8
2016,New Brunswick,12 to 17 years,Females,93.9
2017,New Brunswick,12 to 17 years,Females,100.0
2018,New Brunswick,12 to 17 years,Females,95.5
2019,New Brunswick,12 to 17 years,Females,100.0
2020,New Brunswick,12 to 17 years,Females,97.4
2015,New Brunswick,18 to 34 years,Both sexes,90.5
2016,New Brunswick,18 to 34 years,Both sexes,96.1
2017,New Brunswick,18 to 34 years,Both sexes,94.9
2018,New Brunswick,18 to 34 years,Both sexes,95.7
2019,New Brunswick,18 to 34 years,Both sexes,94.6
2020,New Brunswick,18 to 34 years,Both sexes,83.9
2015,New Brunswick,18 to 34 years,Males,95.8
2016,New Brunswick,18 to 34 years,Males,96.0
2017,New Brunswick,18 to 34 years,Males,94.6
2018,New Brunswick,18 to 34 years,Males,93.6
2019,New Brunswick,18 to 34 years,Males,95.4
2020,New Brunswick,18 to 34 years,Males,76.9
2015,New Brunswick,18 to 34 years,Females,85.1
2016,New Brunswick,18 to 34 years,Females,96.1
2017,New Brunswick,18 to 34 years,Females,95.1
2018,New Brunswick,18 to 34 years,Females,97.8
2019,New Brunswick,18 to 34 years,Females,93.9
2020,New Brunswick,18 to 34 years,Females,91.3
2015,New Brunswick,35 to 49 years,Both sexes,91.6
2016,New Brunswick,35 to 49 years,Both sexes,95.0
2017,New Brunswick,35 to 49 years,Both sexes,91.5
2018,New Brunswick,35 to 49 years,Both sexes,93.9
2019,New Brunswick,35 to 49 years,Both sexes,91.0
2020,New Brunswick,35 to 49 years,Both sexes,95.2
2015,New Brunswick,35 to 49 years,Males,93.5
2016,New Brunswick,35 to 49 years,Males,93.9
2017,New Brunswick,35 to 49 years,Males,93.8
2018,New Brunswick,35 to 49 years,Males,89.9
2019,New Brunswick,35 to 49 years,Males,89.8
2020,New Brunswick,35 to 49 years,Males,95.3
2015,New Brunswick,35 to 49 years,Females,90.0
2016,New Brunswick,35 to 49 years,Females,95.9
2017,New Brunswick,35 to 49 years,Females,89.4
2018,New Brunswick,35 to 49 years,Females,97.8
2019,New Brunswick,35 to 49 years,Females,92.2
2020,New Brunswick,35 to 49 years,Females,95.1
2015,New Brunswick,50 to 64 years,Both sexes,87.7
2016,New Brunswick,50 to 64 years,Both sexes,91.4
2017,New Brunswick,50 to 64 years,Both sexes,91.1
2018,New Brunswick,50 to 64 years,Both sexes,90.5
2019,New Brunswick,50 to 64 years,Both sexes,88.6
2020,New Brunswick,50 to 64 years,Both sexes,91.9
2015,New Brunswick,50 to 64 years,Males,90.1
2016,New Brunswick,50 to 64 years,Males,91.0
