Year,data.Geography,data.Core public infrastructure assets,data.Type of municipality by population size,GeoCode,Value
2016,data.Alberta,data.Solid waste,data.All urban municipalities,48,30.23
2016,data.Alberta,data.Solid waste,"data.Urban municipalities, population 1 to 4,999",48,9.09
2016,data.Alberta,data.Solid waste,"data.Urban municipalities, population 5,000 to 29,999",48,30.0
2016,data.Alberta,data.Solid waste,"data.Urban municipalities, population 30,000 or more",48,50.0
2016,data.Alberta,data.Solid waste,data.All rural municipalities,48,17.05
2016,data.Alberta,data.Solid waste,"data.Rural municipalities, population 1 to 4,999",48,21.82
2016,data.Alberta,data.Solid waste,"data.Rural municipalities, population 5,000 or more",48,6.25
2016,data.British Columbia,data.Potable water,data.All municipalities,59,54.17
2016,data.British Columbia,data.Potable water,data.All urban municipalities,59,64.06
2016,data.British Columbia,data.Potable water,"data.Urban municipalities, population 1 to 4,999",59,41.67
2016,data.British Columbia,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",59,62.96
2016,data.British Columbia,data.Potable water,"data.Urban municipalities, population 30,000 or more",59,73.08
2016,data.British Columbia,data.Potable water,data.All rural municipalities,59,42.86
2016,data.British Columbia,data.Potable water,"data.Rural municipalities, population 1 to 4,999",59,42.5
