Year,data.Geography,data.Industry,Value
2013,data.Quebec,data.Other industries,8447.0
2014,data.Quebec,data.Other industries,9002.0
2015,data.Quebec,data.Other industries,9768.0
2016,data.Quebec,data.Other industries,9340.0
2017,data.Quebec,data.Other industries,9385.0
2018,data.Quebec,data.Other industries,10058.0
2019,data.Quebec,data.Other industries,10240.0
2007,data.Ontario,"data.Total, all clean technology industries",
2008,data.Ontario,"data.Total, all clean technology industries",
2009,data.Ontario,"data.Total, all clean technology industries",
2010,data.Ontario,"data.Total, all clean technology industries",
2011,data.Ontario,"data.Total, all clean technology industries",
2012,data.Ontario,"data.Total, all clean technology industries",58155.0
2013,data.Ontario,"data.Total, all clean technology industries",61679.0
2014,data.Ontario,"data.Total, all clean technology industries",67377.0
2015,data.Ontario,"data.Total, all clean technology industries",78422.0
2016,data.Ontario,"data.Total, all clean technology industries",72674.0
2017,data.Ontario,"data.Total, all clean technology industries",75902.0
2018,data.Ontario,"data.Total, all clean technology industries",78141.0
2019,data.Ontario,"data.Total, all clean technology industries",83469.0
2007,data.Ontario,data.Engineering construction,
2008,data.Ontario,data.Engineering construction,
2009,data.Ontario,data.Engineering construction,
2010,data.Ontario,data.Engineering construction,
2011,data.Ontario,data.Engineering construction,
2012,data.Ontario,data.Engineering construction,15931.0
2013,data.Ontario,data.Engineering construction,16967.0
2014,data.Ontario,data.Engineering construction,21236.0
2015,data.Ontario,data.Engineering construction,23813.0
2016,data.Ontario,data.Engineering construction,18997.0
2017,data.Ontario,data.Engineering construction,19059.0
2018,data.Ontario,data.Engineering construction,16913.0
2019,data.Ontario,data.Engineering construction,17765.0
2007,data.Ontario,data.Manufacturing,
2008,data.Ontario,data.Manufacturing,
2009,data.Ontario,data.Manufacturing,
2010,data.Ontario,data.Manufacturing,
2011,data.Ontario,data.Manufacturing,
2012,data.Ontario,data.Manufacturing,10322.0
2013,data.Ontario,data.Manufacturing,11539.0
2014,data.Ontario,data.Manufacturing,9896.0
2015,data.Ontario,data.Manufacturing,14862.0
2016,data.Ontario,data.Manufacturing,10887.0
2017,data.Ontario,data.Manufacturing,14783.0
2018,data.Ontario,data.Manufacturing,14684.0
2019,data.Ontario,data.Manufacturing,15816.0
2007,data.Ontario,"data.Professional, scientific and technical services",
2008,data.Ontario,"data.Professional, scientific and technical services",
2009,data.Ontario,"data.Professional, scientific and technical services",
2010,data.Ontario,"data.Professional, scientific and technical services",
2011,data.Ontario,"data.Professional, scientific and technical services",
2012,data.Ontario,"data.Professional, scientific and technical services",11714.0
2013,data.Ontario,"data.Professional, scientific and technical services",11072.0
2014,data.Ontario,"data.Professional, scientific and technical services",13160.0
2015,data.Ontario,"data.Professional, scientific and technical services",15907.0
2016,data.Ontario,"data.Professional, scientific and technical services",17825.0
2017,data.Ontario,"data.Professional, scientific and technical services",16581.0
2018,data.Ontario,"data.Professional, scientific and technical services",19522.0
2019,data.Ontario,"data.Professional, scientific and technical services",21666.0
2007,data.Ontario,data.Other industries,
2008,data.Ontario,data.Other industries,
2009,data.Ontario,data.Other industries,
2010,data.Ontario,data.Other industries,
2011,data.Ontario,data.Other industries,
2012,data.Ontario,data.Other industries,20188.0
2013,data.Ontario,data.Other industries,22101.0
2014,data.Ontario,data.Other industries,23085.0
2015,data.Ontario,data.Other industries,23840.0
2016,data.Ontario,data.Other industries,24965.0
2017,data.Ontario,data.Other industries,25479.0
2018,data.Ontario,data.Other industries,27022.0
2019,data.Ontario,data.Other industries,28222.0
2007,data.Manitoba,"data.Total, all clean technology industries",
2008,data.Manitoba,"data.Total, all clean technology industries",
2009,data.Manitoba,"data.Total, all clean technology industries",
2010,data.Manitoba,"data.Total, all clean technology industries",
2011,data.Manitoba,"data.Total, all clean technology industries",
2012,data.Manitoba,"data.Total, all clean technology industries",6851.0
2013,data.Manitoba,"data.Total, all clean technology industries",7865.0
2014,data.Manitoba,"data.Total, all clean technology industries",9635.0
2015,data.Manitoba,"data.Total, all clean technology industries",10995.0
2016,data.Manitoba,"data.Total, all clean technology industries",11791.0
2017,data.Manitoba,"data.Total, all clean technology industries",13683.0
2018,data.Manitoba,"data.Total, all clean technology industries",12217.0
2019,data.Manitoba,"data.Total, all clean technology industries",11656.0
2007,data.Manitoba,data.Engineering construction,
2008,data.Manitoba,data.Engineering construction,
2009,data.Manitoba,data.Engineering construction,
2010,data.Manitoba,data.Engineering construction,
2011,data.Manitoba,data.Engineering construction,
2012,data.Manitoba,data.Engineering construction,4268.0
2013,data.Manitoba,data.Engineering construction,5001.0
2014,data.Manitoba,data.Engineering construction,6545.0
2015,data.Manitoba,data.Engineering construction,7891.0
2016,data.Manitoba,data.Engineering construction,8419.0
2017,data.Manitoba,data.Engineering construction,9692.0
2018,data.Manitoba,data.Engineering construction,8130.0
2019,data.Manitoba,data.Engineering construction,7462.0
2007,data.Manitoba,data.Manufacturing,
2008,data.Manitoba,data.Manufacturing,
2009,data.Manitoba,data.Manufacturing,
2010,data.Manitoba,data.Manufacturing,
2011,data.Manitoba,data.Manufacturing,
2012,data.Manitoba,data.Manufacturing,918.0
2013,data.Manitoba,data.Manufacturing,1021.0
2014,data.Manitoba,data.Manufacturing,980.0
2015,data.Manitoba,data.Manufacturing,719.0
2016,data.Manitoba,data.Manufacturing,891.0
2017,data.Manitoba,data.Manufacturing,1166.0
2018,data.Manitoba,data.Manufacturing,1139.0
2019,data.Manitoba,data.Manufacturing,1195.0
2007,data.Manitoba,"data.Professional, scientific and technical services",
2008,data.Manitoba,"data.Professional, scientific and technical services",
2009,data.Manitoba,"data.Professional, scientific and technical services",
2010,data.Manitoba,"data.Professional, scientific and technical services",
2011,data.Manitoba,"data.Professional, scientific and technical services",
2012,data.Manitoba,"data.Professional, scientific and technical services",438.0
2013,data.Manitoba,"data.Professional, scientific and technical services",412.0
2014,data.Manitoba,"data.Professional, scientific and technical services",580.0
2015,data.Manitoba,"data.Professional, scientific and technical services",709.0
2016,data.Manitoba,"data.Professional, scientific and technical services",789.0
2017,data.Manitoba,"data.Professional, scientific and technical services",1011.0
2018,data.Manitoba,"data.Professional, scientific and technical services",1034.0
2019,data.Manitoba,"data.Professional, scientific and technical services",1096.0
2007,data.Manitoba,data.Other industries,
2008,data.Manitoba,data.Other industries,
2009,data.Manitoba,data.Other industries,
2010,data.Manitoba,data.Other industries,
2011,data.Manitoba,data.Other industries,
2012,data.Manitoba,data.Other industries,1227.0
2013,data.Manitoba,data.Other industries,1431.0
2014,data.Manitoba,data.Other industries,1530.0
2015,data.Manitoba,data.Other industries,1676.0
2016,data.Manitoba,data.Other industries,1692.0
2017,data.Manitoba,data.Other industries,1814.0
2018,data.Manitoba,data.Other industries,1914.0
2019,data.Manitoba,data.Other industries,1903.0
2007,data.Saskatchewan,"data.Total, all clean technology industries",
2008,data.Saskatchewan,"data.Total, all clean technology industries",
2009,data.Saskatchewan,"data.Total, all clean technology industries",
2010,data.Saskatchewan,"data.Total, all clean technology industries",
2011,data.Saskatchewan,"data.Total, all clean technology industries",
2012,data.Saskatchewan,"data.Total, all clean technology industries",4310.0
2013,data.Saskatchewan,"data.Total, all clean technology industries",4369.0
2014,data.Saskatchewan,"data.Total, all clean technology industries",4580.0
2015,data.Saskatchewan,"data.Total, all clean technology industries",5318.0
2016,data.Saskatchewan,"data.Total, all clean technology industries",4374.0
2017,data.Saskatchewan,"data.Total, all clean technology industries",4968.0
2018,data.Saskatchewan,"data.Total, all clean technology industries",4254.0
2019,data.Saskatchewan,"data.Total, all clean technology industries",4530.0
2007,data.Saskatchewan,data.Engineering construction,
2008,data.Saskatchewan,data.Engineering construction,
2009,data.Saskatchewan,data.Engineering construction,
