Year,Géographie,Infractions,GeoCode,Value
2017,Nouvelle-Écosse,Total des infractions sexuelles contre les enfants,,26.73
2018,Nouvelle-Écosse,Total des infractions sexuelles contre les enfants,,27.13
2019,Nouvelle-Écosse,Total des infractions sexuelles contre les enfants,,32.28
2020,Nouvelle-Écosse,Total des infractions sexuelles contre les enfants,,31.35
2015,Nouvelle-Écosse,Voies de fait graves (niveau 3),,9.5
2016,Nouvelle-Écosse,Voies de fait graves (niveau 3),,9.12
2017,Nouvelle-Écosse,Voies de fait graves (niveau 3),,8.95
2018,Nouvelle-Écosse,Voies de fait graves (niveau 3),,8.35
2019,Nouvelle-Écosse,Voies de fait graves (niveau 3),,10.83
2020,Nouvelle-Écosse,Voies de fait graves (niveau 3),,6.74
2015,Nouvelle-Écosse,Voies de fait armées ou causant des lésions corporelles (niveau 2),,112.44
2016,Nouvelle-Écosse,Voies de fait armées ou causant des lésions corporelles (niveau 2),,111.37
2017,Nouvelle-Écosse,Voies de fait armées ou causant des lésions corporelles (niveau 2),,113.88
2018,Nouvelle-Écosse,Voies de fait armées ou causant des lésions corporelles (niveau 2),,111.85
2019,Nouvelle-Écosse,Voies de fait armées ou causant des lésions corporelles (niveau 2),,119.41
2020,Nouvelle-Écosse,Voies de fait armées ou causant des lésions corporelles (niveau 2),,144.08
2015,Nouvelle-Écosse,Voies de fait simples (niveau 1),,461.17
2016,Nouvelle-Écosse,Voies de fait simples (niveau 1),,446.23
2017,Nouvelle-Écosse,Voies de fait simples (niveau 1),,482.79
2018,Nouvelle-Écosse,Voies de fait simples (niveau 1),,480.17
2019,Nouvelle-Écosse,Voies de fait simples (niveau 1),,512.92
2020,Nouvelle-Écosse,Voies de fait simples (niveau 1),,521.16
2015,Nouvelle-Écosse,Total des vols qualifiés,,34.28
2016,Nouvelle-Écosse,Total des vols qualifiés,,28.74
2017,Nouvelle-Écosse,Total des vols qualifiés,,32.52
2018,Nouvelle-Écosse,Total des vols qualifiés,,32.76
2019,Nouvelle-Écosse,Total des vols qualifiés,,24.65
2020,Nouvelle-Écosse,Total des vols qualifiés,,27.26
2015,Nouvelle-Écosse,Menaces,,260.11
2016,Nouvelle-Écosse,Menaces,,244.27
2017,Nouvelle-Écosse,Menaces,,255.87
2018,Nouvelle-Écosse,Menaces,,252.09
2019,Nouvelle-Écosse,Menaces,,314.72
2020,Nouvelle-Écosse,Menaces,,361.16
2015,Nouvelle-Écosse,Total des autres infractions avec violence,,16.23
2016,Nouvelle-Écosse,Total des autres infractions avec violence,,15.8
2017,Nouvelle-Écosse,Total des autres infractions avec violence,,16.21
2018,Nouvelle-Écosse,Total des autres infractions avec violence,,18.47
2019,Nouvelle-Écosse,Total des autres infractions avec violence,,26.5
2020,Nouvelle-Écosse,Total des autres infractions avec violence,,30.33
2015,Nouveau-Brunswick,Total des infractions,13,5478.74
2016,Nouveau-Brunswick,Total des infractions,13,5276.22
2017,Nouveau-Brunswick,Total des infractions,13,5753.3
2018,Nouveau-Brunswick,Total des infractions,13,6055.68
2019,Nouveau-Brunswick,Total des infractions,13,6752.37
2020,Nouveau-Brunswick,Total des infractions,13,6763.36
2015,Nouveau-Brunswick,Homicide,,1.45
2016,Nouveau-Brunswick,Homicide,,1.44
2017,Nouveau-Brunswick,Homicide,,1.3
2018,Nouveau-Brunswick,Homicide,,1.69
2019,Nouveau-Brunswick,Homicide,,2.19
2020,Nouveau-Brunswick,Homicide,,1.79
2015,Nouveau-Brunswick,Total des autres infractions entraînant la mort,,0.13
2016,Nouveau-Brunswick,Total des autres infractions entraînant la mort,,0.39
2017,Nouveau-Brunswick,Total des autres infractions entraînant la mort,,0.0
2018,Nouveau-Brunswick,Total des autres infractions entraînant la mort,,0.52
2019,Nouveau-Brunswick,Total des autres infractions entraînant la mort,,0.39
2020,Nouveau-Brunswick,Total des autres infractions entraînant la mort,,0.64
2015,Nouveau-Brunswick,Tentative de meurtre,,2.24
2016,Nouveau-Brunswick,Tentative de meurtre,,0.92
2017,Nouveau-Brunswick,Tentative de meurtre,,0.78
2018,Nouveau-Brunswick,Tentative de meurtre,,1.17
2019,Nouveau-Brunswick,Tentative de meurtre,,2.19
2020,Nouveau-Brunswick,Tentative de meurtre,,1.28
2015,Nouveau-Brunswick,Agression sexuelle grave (niveau 3),,0.13
2016,Nouveau-Brunswick,Agression sexuelle grave (niveau 3),,0.13
2017,Nouveau-Brunswick,Agression sexuelle grave (niveau 3),,0.0
2018,Nouveau-Brunswick,Agression sexuelle grave (niveau 3),,0.26
2019,Nouveau-Brunswick,Agression sexuelle grave (niveau 3),,0.13
2020,Nouveau-Brunswick,Agression sexuelle grave (niveau 3),,0.38
2015,Nouveau-Brunswick,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.66
2016,Nouveau-Brunswick,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.92
2017,Nouveau-Brunswick,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.39
2018,Nouveau-Brunswick,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.78
2019,Nouveau-Brunswick,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.9
2020,Nouveau-Brunswick,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.9
2015,Nouveau-Brunswick,Agression sexuelle de niveau 1,,54.29
2016,Nouveau-Brunswick,Agression sexuelle de niveau 1,,56.07
2017,Nouveau-Brunswick,Agression sexuelle de niveau 1,,67.05
2018,Nouveau-Brunswick,Agression sexuelle de niveau 1,,71.4
2019,Nouveau-Brunswick,Agression sexuelle de niveau 1,,80.45
2020,Nouveau-Brunswick,Agression sexuelle de niveau 1,,76.78
2015,Nouveau-Brunswick,Total des infractions sexuelles contre les enfants,,18.84
2016,Nouveau-Brunswick,Total des infractions sexuelles contre les enfants,,23.97
2017,Nouveau-Brunswick,Total des infractions sexuelles contre les enfants,,23.22
2018,Nouveau-Brunswick,Total des infractions sexuelles contre les enfants,,24.93
2019,Nouveau-Brunswick,Total des infractions sexuelles contre les enfants,,29.48
2020,Nouveau-Brunswick,Total des infractions sexuelles contre les enfants,,27.26
