Year,Géographie,Type de matières récupérées,Sources des matières préparées en vue du recyclage,GeoCode,Value
2018,Nouveau-Brunswick,Pneus,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,"data.Construction, renovation and demolition",Toutes les sources des matières récupérées,13,14.04126439
2018,Nouveau-Brunswick,"data.Construction, renovation and demolition",Sources des matières résidentielles récupérées,13,0.830844047
2018,Nouveau-Brunswick,"data.Construction, renovation and demolition",Sources des matières non résidentielles récupérées,13,13.21042034
2018,Nouveau-Brunswick,Matières organiques,Toutes les sources des matières récupérées,13,122.3690479
2018,Nouveau-Brunswick,Matières organiques,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Matières organiques,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,Autres matières,Toutes les sources des matières récupérées,13,5.261579564
2018,Nouveau-Brunswick,Autres matières,Sources des matières résidentielles récupérées,13,4.789037013
2018,Nouveau-Brunswick,Autres matières,Sources des matières non résidentielles récupérées,13,0.472542552
2018,Québec,Toutes les matières,Toutes les sources des matières récupérées,24,298.9552876
2018,Québec,Toutes les matières,Sources des matières résidentielles récupérées,24,
2018,Québec,Toutes les matières,Sources des matières non résidentielles récupérées,24,
2018,Québec,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,24,130.9252919
2018,Québec,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,24,62.72511711
2018,Québec,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,24,68.20017477
2018,Québec,Verre,Toutes les sources des matières récupérées,24,6.911308113
2018,Québec,Verre,Sources des matières résidentielles récupérées,24,5.356034668
2018,Québec,Verre,Sources des matières non résidentielles récupérées,24,1.555273445
2018,Québec,Métaux ferreux,Toutes les sources des matières récupérées,24,37.63507027
2018,Québec,Métaux ferreux,Sources des matières résidentielles récupérées,24,4.641896712
2018,Québec,Métaux ferreux,Sources des matières non résidentielles récupérées,24,32.99317356
