Year,Géographie,Actif,GeoCode,Value
2015,Nouveau-Brunswick,Oléoducs,13,60.5
2015,Nouveau-Brunswick,Autres travaux de génie,13,53.2
2015,Nouveau-Brunswick,Installations d'élimination des déchets,13,53.0
2015,Nouveau-Brunswick,Installations récréatives de plein air,13,53.3
2015,Nouveau-Brunswick,Dépollution,13,51.7
2015,Nouveau-Brunswick,Autres machines et matériel,13,33.0
2015,Nouveau-Brunswick,"Turbines, turbogénérateurs et groupes générateurs de turbine",13,22.7
2015,Nouveau-Brunswick,Matériel de traitement de l'eau,13,39.8
2015,Nouveau-Brunswick,Transformateurs de puissance et de distribution,13,37.5
2015,Nouveau-Brunswick,Machines et matériel de transport,13,61.1
2015,Nouveau-Brunswick,Autobus,13,72.4
2015,Nouveau-Brunswick,"Locomotives, matériel ferroviaire roulant et de transport en commun rapide",13,55.3
2015,Québec,Total des actifs,24,57.0
2015,Québec,Immeubles commerciaux,24,54.8
2015,Québec,Installations sportives avec capacité d'accueil de spectateurs,24,56.6
2015,Québec,Installations récréatives intérieures,24,60.6
2015,Québec,Résidences d'étudiants,24,49.5
2015,Québec,Aéroports et autres gares de voyageurs,24,50.8
2015,Québec,Édifices de communications,24,49.3
2015,Québec,Bâtiments institutionnels,24,60.2
2015,Québec,"Écoles, collèges, universités et autres bâtiments d'enseignement",24,56.6
2015,Québec,Hôpitaux,24,69.4
2015,Québec,Maisons de soins infirmiers et résidences pour personnes âgées,24,68.1
2015,Québec,Centres religieux et lieux commémoratifs,24,59.1
2015,Québec,Musées,24,60.3
2015,Québec,Lieux historiques,24,57.1
2015,Québec,Bibliothèques,24,56.9
2015,Québec,Installations de sécurité publique,24,56.8
2015,Québec,Infrastructures de génie maritime,24,50.5
2015,Québec,Ports de mer,24,61.3
2015,Québec,Ports de plaisance et ports de commerce,24,35.9
2015,Québec,Canaux et voies navigables,24,62.9
2015,Québec,Autres infrastructures de génie maritime,24,61.4
2015,Québec,Infrastructures de génie liées aux transports,24,60.0
2015,Québec,Structures et réseaux autoroutiers et routiers,24,59.0
2015,Québec,Ponts,24,64.8
2015,Québec,Tunnels,24,63.1
2015,Québec,Lignes de chemins de fer,24,65.5
2015,Québec,Pistes d'atterrissage et de décollage,24,63.1
2015,Québec,Infrastructure d'adduction et de distribution d'eau,24,56.5
2015,Québec,Usines de filtration de l'eau,24,62.4
2015,Québec,Autres infrastructure d'eau,24,56.0
2015,Québec,Infrastructures pour les eaux usées,24,50.9
2015,Québec,Usines d'épuration des eaux d'égout,24,51.4
2015,Québec,Autres infrastructure d'égout,24,50.9
2015,Québec,Réseaux de communication,24,58.2
2015,Québec,"Câbles et lignes – coaxiaux, cuivre, aluminium, etc.",24,53.8
2015,Québec,Fibre optique,24,60.8
2015,Québec,Structures de support pour la transmission,24,52.7
2015,Québec,Autres structures de communication,24,55.6
2015,Québec,Infrastructure liées à l'énergie électrique,24,56.1
2015,Québec,Centrales éoliennes et panneaux solaires,24,56.3
2015,Québec,Centrale énergétique thermale,24,56.0
2015,Québec,Centrale énergétique nucléaire,24,43.6
2015,Québec,Centrale énergétique hydraulique,24,56.2
2015,Québec,Réseaux de transport d'électricité,24,56.0
2015,Québec,Réseau de distribution d'électricité,24,55.9
2015,Québec,Autres constructions de l'énergie électrique,24,56.3
2015,Québec,Construction liée aux installations de pétrole et de gaz,24,45.9
2015,Québec,Oléoducs,24,45.9
2015,Québec,Autres travaux de génie,24,58.2
2015,Québec,Installations d'élimination des déchets,24,65.8
2015,Québec,Installations récréatives de plein air,24,58.0
2015,Québec,Dépollution,24,81.6
2015,Québec,Autres machines et matériel,24,26.5
2015,Québec,"Turbines, turbogénérateurs et groupes générateurs de turbine",24,31.5
2015,Québec,"Systèmes d'alimentation en vapeur, de réacteur nucléaire",24,55.9
2015,Québec,Matériel de traitement de l'eau,24,46.4
2015,Québec,Transformateurs de puissance et de distribution,24,17.9
2015,Québec,Machines et matériel de transport,24,58.9
2015,Québec,Autobus,24,49.4
2015,Québec,"Locomotives, matériel ferroviaire roulant et de transport en commun rapide",24,64.2
2015,Ontario,Total des actifs,35,58.6
2015,Ontario,Immeubles commerciaux,35,55.0
2015,Ontario,Installations sportives avec capacité d'accueil de spectateurs,35,58.3
2015,Ontario,Installations récréatives intérieures,35,57.9
2015,Ontario,Résidences d'étudiants,35,53.1
2015,Ontario,Aéroports et autres gares de voyageurs,35,52.1
2015,Ontario,Édifices de communications,35,53.5
2015,Ontario,Bâtiments institutionnels,35,59.9
2015,Ontario,"Écoles, collèges, universités et autres bâtiments d'enseignement",35,59.3
2015,Ontario,Hôpitaux,35,61.2
2015,Ontario,Maisons de soins infirmiers et résidences pour personnes âgées,35,60.0
2015,Ontario,Centres religieux et lieux commémoratifs,35,50.5
2015,Ontario,Musées,35,61.4
2015,Ontario,Lieux historiques,35,60.6
2015,Ontario,Bibliothèques,35,64.8
2015,Ontario,Installations de sécurité publique,35,60.8
2015,Ontario,Infrastructures de génie maritime,35,36.0
2015,Ontario,Ports de mer,35,34.5
2015,Ontario,Ports de plaisance et ports de commerce,35,31.9
2015,Ontario,Canaux et voies navigables,35,32.0
2015,Ontario,Autres infrastructures de génie maritime,35,43.1
2015,Ontario,Infrastructures de génie liées aux transports,35,61.8
2015,Ontario,Structures et réseaux autoroutiers et routiers,35,59.7
2015,Ontario,Ponts,35,57.6
2015,Ontario,Tunnels,35,59.1
2015,Ontario,Lignes de chemins de fer,35,67.6
2015,Ontario,Pistes d'atterrissage et de décollage,35,59.7
2015,Ontario,Infrastructure d'adduction et de distribution d'eau,35,67.1
2015,Ontario,Usines de filtration de l'eau,35,62.7
2015,Ontario,Autres infrastructure d'eau,35,72.0
2015,Ontario,Infrastructures pour les eaux usées,35,53.1
2015,Ontario,Usines d'épuration des eaux d'égout,35,53.3
2015,Ontario,Autres infrastructure d'égout,35,53.0
2015,Ontario,Réseaux de communication,35,53.3
2015,Ontario,"Câbles et lignes – coaxiaux, cuivre, aluminium, etc.",35,52.8
2015,Ontario,Fibre optique,35,53.8
2015,Ontario,Structures de support pour la transmission,35,52.7
2015,Ontario,Autres structures de communication,35,53.8
2015,Ontario,Infrastructure liées à l'énergie électrique,35,56.4
2015,Ontario,Centrales éoliennes et panneaux solaires,35,55.5
2015,Ontario,Centrale énergétique thermale,35,57.1
2015,Ontario,Centrale énergétique nucléaire,35,54.5
2015,Ontario,Centrale énergétique hydraulique,35,55.2
2015,Ontario,Réseaux de transport d'électricité,35,54.7
2015,Ontario,Réseau de distribution d'électricité,35,57.2
2015,Ontario,Autres constructions de l'énergie électrique,35,55.5
2015,Ontario,Construction liée aux installations de pétrole et de gaz,35,40.6
2015,Ontario,Oléoducs,35,40.6
2015,Ontario,Autres travaux de génie,35,53.8
2015,Ontario,Installations d'élimination des déchets,35,53.1
2015,Ontario,Installations récréatives de plein air,35,53.3
2015,Ontario,Dépollution,35,54.7
2015,Ontario,Autres machines et matériel,35,56.4
2015,Ontario,"Turbines, turbogénérateurs et groupes générateurs de turbine",35,56.2
2015,Ontario,"Systèmes d'alimentation en vapeur, de réacteur nucléaire",35,67.5
2015,Ontario,Matériel de traitement de l'eau,35,47.1
2015,Ontario,Transformateurs de puissance et de distribution,35,56.8
2015,Ontario,Machines et matériel de transport,35,61.9
2015,Ontario,Autobus,35,60.1
2015,Ontario,"Locomotives, matériel ferroviaire roulant et de transport en commun rapide",35,63.0
2015,Manitoba,Total des actifs,46,57.6
2015,Manitoba,Immeubles commerciaux,46,53.8
2015,Manitoba,Installations sportives avec capacité d'accueil de spectateurs,46,55.8
2015,Manitoba,Installations récréatives intérieures,46,54.4
2015,Manitoba,Résidences d'étudiants,46,55.2
2015,Manitoba,Aéroports et autres gares de voyageurs,46,50.9
2015,Manitoba,Édifices de communications,46,51.2
2015,Manitoba,Bâtiments institutionnels,46,57.3
2015,Manitoba,"Écoles, collèges, universités et autres bâtiments d'enseignement",46,56.1
2015,Manitoba,Hôpitaux,46,53.7
2015,Manitoba,Maisons de soins infirmiers et résidences pour personnes âgées,46,52.6
2015,Manitoba,Centres religieux et lieux commémoratifs,46,73.0
2015,Manitoba,Musées,46,73.4
2015,Manitoba,Lieux historiques,46,73.4
2015,Manitoba,Bibliothèques,46,66.6
2015,Manitoba,Installations de sécurité publique,46,65.8
2015,Manitoba,Infrastructures de génie maritime,46,31.4
2015,Manitoba,Ports de mer,46,29.7
2015,Manitoba,Ports de plaisance et ports de commerce,46,31.9
