Year,Géographie,Type de poste de recharge ou de ravitaillement,GeoCode,Value
2017,Québec,Gaz naturel comprimé,24,4
2017,Québec,Électrique,24,284
2017,Québec,Propane,24,139
2018,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,465
2018,Québec,Gaz naturel comprimé,24,6
2018,Québec,Électrique,24,315
2018,Québec,Hydrogène,24,1
2018,Québec,Propane,24,143
2019,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,1923
2019,Québec,Gaz naturel comprimé,24,8
2019,Québec,Électrique,24,1766
2019,Québec,Gaz naturel liquéfié,24,1
2019,Québec,Propane,24,147
2020,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,2301
2020,Québec,Électrique,24,2144
2021,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,2680
2021,Québec,Électrique,24,2521
2021,Québec,Propane,24,149
2022,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,3214
2022,Québec,Gaz naturel comprimé,24,10
2022,Québec,Électrique,24,3052
2022,Québec,Hydrogène,24,2
2023,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,4041
2023,Québec,Gaz naturel comprimé,24,11
2023,Québec,Électrique,24,3876
2023,Québec,Hydrogène,24,3
2023,Québec,Propane,24,150
2024,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,4757
2024,Québec,Électrique,24,4591
2024,Québec,Propane,24,151
2025,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,5168
2025,Québec,Gaz naturel comprimé,24,13
2025,Québec,Électrique,24,4998
2025,Québec,Hydrogène,24,5
2014,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,8
2014,Saskatchewan,Électrique,47,3
2014,Saskatchewan,Propane,47,5
2015,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,16
2015,Saskatchewan,Électrique,47,10
2015,Saskatchewan,Propane,47,6
2016,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,20
2016,Saskatchewan,Électrique,47,14
2017,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,25
2017,Saskatchewan,Électrique,47,19
2018,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,93
2018,Saskatchewan,Électrique,47,21
2018,Saskatchewan,Propane,47,72
2019,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,104
2019,Saskatchewan,Électrique,47,30
2019,Saskatchewan,Propane,47,74
2020,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,112
2020,Saskatchewan,Électrique,47,38
2021,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,132
2021,Saskatchewan,Électrique,47,58
2022,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,172
2022,Saskatchewan,Gaz naturel comprimé,47,1
2022,Saskatchewan,Électrique,47,97
2023,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,214
2023,Saskatchewan,Électrique,47,139
2024,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,246
2024,Saskatchewan,Électrique,47,171
